hrs,absences,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
6.963504016064166,15,3,4,3.0,4.0,2.0,45,Travel_Rarely,Research & Development,2,1,Technical Degree,1,2824,Female,2,Healthcare Representative,Single,57680,5.0,Y,23,8,1,9.0,4,6,0,3
7.005464078536111,19,3,3,2.0,3.0,3.0,54,Travel_Rarely,Sales,24,3,Marketing,1,927,Male,1,Laboratory Technician,Married,26000,3.0,Y,14,8,0,36.0,5,10,4,7
8.334608433734722,11,2,3,1.0,1.0,3.0,29,Travel_Rarely,Research & Development,8,2,Medical,1,3996,Male,1,Manager,Divorced,28530,4.0,Y,14,8,1,4.0,5,2,2,0
7.521928826416667,6,3,3,4.0,2.0,3.0,25,Travel_Rarely,Research & Development,11,3,Medical,1,1730,Male,2,Manufacturing Director,Married,100960,0.0,Y,11,8,1,4.0,3,3,1,2
7.0409281570725,16,4,3,2.0,2.0,3.0,21,Travel_Rarely,Sales,1,2,Marketing,1,2484,Male,5,Healthcare Representative,Single,27910,1.0,Y,14,8,0,1.0,3,1,1,0
6.86505243195,18,3,3,1.0,3.0,2.0,43,Non-Travel,Human Resources,8,5,Medical,1,2506,Female,3,Sales Executive,Single,22580,4.0,Y,18,8,0,7.0,2,3,1,2
6.023237394020278,7,3,4,3.0,4.0,3.0,46,Travel_Rarely,Sales,1,2,Medical,1,1302,Female,2,Research Scientist,Single,97140,1.0,Y,22,8,0,9.0,0,9,4,7
8.333794065149444,8,2,3,4.0,3.0,3.0,20,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1726,Male,5,Sales Representative,Single,61620,1.0,Y,12,8,3,1.0,2,1,1,1
10.377392904953055,12,3,3,4.0,3.0,1.0,38,Travel_Rarely,Sales,10,3,Medical,1,302,Male,4,Laboratory Technician,Married,181720,6.0,Y,12,8,2,6.0,5,1,0,1
7.375642570281111,13,3,3,4.0,2.0,3.0,38,Travel_Frequently,Sales,29,2,Medical,1,3876,Female,1,Sales Executive,Single,39170,1.0,Y,15,8,3,4.0,2,4,3,3
